model,city,T_in,T_out,tag,horizon,MAE,RMSE,MAPE,config
lstm,bj,48,48,1d,h12,17.1248,32.1066,32.61,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""1d""}"
lstm,bj,48,48,1d,avg,20.3440,38.8071,36.88,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""1d""}"
gru,bj,48,48,1d,h1,12.2434,21.5723,24.75,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""1d""}"
gru,bj,48,48,1d,h3,14.1759,25.5478,28.87,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""1d""}"
gru,bj,48,48,1d,h6,15.6550,28.5510,31.49,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""1d""}"
gru,bj,48,48,1d,h12,17.0942,31.4836,34.27,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""1d""}"
gru,bj,48,48,1d,avg,20.4316,38.4841,39.27,"{""model"": ""gru"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/gru/best.pt"", ""log_dir"": ""outputs/logs/gru"", ""tag"": ""1d""}"
gcn,bj,336,48,336,h1,31.4823,56.8971,84.64,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn"", ""tag"": ""336""}"
gcn,bj,336,48,336,h3,31.7894,57.1388,83.92,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn"", ""tag"": ""336""}"
gcn,bj,336,48,336,h6,31.4269,56.2171,79.54,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn"", ""tag"": ""336""}"
gcn,bj,336,48,336,h12,31.3034,55.1458,76.74,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn"", ""tag"": ""336""}"
gcn,bj,336,48,336,avg,33.4488,57.7498,83.44,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 336, ""T_out"": 48, ""hidden"": 64, ""batch"": 16, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn"", ""tag"": ""336""}"
